log,bytes,run_directory_present,recorded_errors
launch_logs/actuated-2eye-mlp_hunger_relative_heading0.25_seed0_nenv8_20260623_112913.log,14195,False,
launch_logs/actuated-2eye-mlp_hunger_relative_heading0.25_seed0_nenv8_20260623_120509.log,10050,False,ConfigCompositionException: In 'overlay/tracking_hunger_pressure': ConfigKeyError raised while composing config: | ConfigKeyError: Key 'overlay' not in 'MjCambrianConfig'
launch_logs/actuated-2eye-mlp_hunger_relative_heading0.25_seed0_nenv8_20260623_121112.log,10050,False,ConfigCompositionException: In 'overlay/tracking_hunger_pressure': ConfigKeyError raised while composing config: | ConfigKeyError: Key 'overlay' not in 'MjCambrianConfig'
launch_logs/actuated-2eye-mlp_hunger_relative_heading0.25_seed0_nenv8_20260623_121211.log,10050,False,ConfigCompositionException: In 'overlay/tracking_hunger_pressure': ConfigKeyError raised while composing config: | ConfigKeyError: Key 'overlay' not in 'MjCambrianConfig'
launch_logs/actuated-2eye-mlp_hunger_relative_heading0.25_seed0_nenv8_20260623_122616.log,18663,True,
launch_logs/actuated-2eye-mlp_hunger_relative_heading0.25_seed100_nenv8_20260623_112913.log,14304,False,
launch_logs/actuated-2eye-mlp_hunger_relative_heading0.25_seed100_nenv8_20260623_120509.log,10050,False,ConfigCompositionException: In 'overlay/tracking_hunger_pressure': ConfigKeyError raised while composing config: | ConfigKeyError: Key 'overlay' not in 'MjCambrianConfig'
launch_logs/actuated-2eye-mlp_hunger_relative_heading0.25_seed100_nenv8_20260623_121112.log,10050,False,ConfigCompositionException: In 'overlay/tracking_hunger_pressure': ConfigKeyError raised while composing config: | ConfigKeyError: Key 'overlay' not in 'MjCambrianConfig'
launch_logs/actuated-2eye-mlp_hunger_relative_heading0.25_seed100_nenv8_20260623_121211.log,10050,False,ConfigCompositionException: In 'overlay/tracking_hunger_pressure': ConfigKeyError raised while composing config: | ConfigKeyError: Key 'overlay' not in 'MjCambrianConfig'
launch_logs/actuated-2eye-mlp_hunger_relative_heading0.25_seed100_nenv8_20260623_122616.log,29319,True,
launch_logs/actuated-2eye-mlp_r2plus1d_yawrate_seed0_nenv8_20260623_220639.log,59943,True,
launch_logs/actuated-2eye-mlp_r2plus1d_yawrate_seed100_nenv8_20260623_220639.log,60510,True,
launch_logs/actuated-2eye-mlp_relative_heading0.25_seed0_nenv8_20260623_104255.log,16774,True,
launch_logs/actuated-2eye-mlp_relative_heading0.25_seed100_nenv8_20260623_104255.log,30190,True,
launch_logs/actuated-2eye-mlp_seed0_nenv8_20260623_094616.log,25694,True,
launch_logs/actuated-2eye-mlp_seed100_nenv8_20260623_094616.log,11712,True,
launch_logs/actuated-2eye-mlp_seed200_nenv8_20260623_094616.log,13089,True,
launch_logs/actuated-2eye-mlp_seed300_nenv8_20260623_094616.log,13102,True,
launch_logs/actuated-2eye-mlp_yawrate_seed0_nenv8_20260623_150830.log,14681,True,
launch_logs/actuated-2eye-mlp_yawrate_seed0_nenv8_20260623_160043.log,43873,True,
launch_logs/actuated-2eye-mlp_yawrate_seed0_nenv8_20260623_181249.log,87847,True,
launch_logs/actuated-2eye-mlp_yawrate_seed100_nenv8_20260623_150830.log,15050,True,
launch_logs/actuated-2eye-mlp_yawrate_seed100_nenv8_20260623_160043.log,44562,True,
