run,seed,finished,config,checkpoint,final_policy,requested_steps,model,body,train_rewards,fitness_file,eval_blocks,episodes_per_block,first_eval_mean,best_eval_mean,last_eval_mean,best_eval_step,last_eval_step,best_video,hours_to_last_eval
logs/2026-06-22/actuated-2eye-rppo_seed0_nenv8_20260622_214643,0,True,True,True,True,500000,cambrian.ml.model.MjCambrianRecurrentModel,cambrian.agents.MjCambrianAgentPointEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,6.37326015,20,6,-242.4726104736328,1.1315397024154663,0.0,300000,500000,evaluations/vis_11.mp4,0.8979014011111112
logs/2026-06-22/exp_tracking,0,False,True,True,True,500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.MjCambrianAgentPoint,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-1414.3781844999999,4,6,-457.3006286621094,32.77951431274414,32.77951431274414,320000,320000,evaluations/vis_3.mp4,0.3496707163888889
logs/2026-06-22/fixed-2eye-mlp_seed0_nenv8_20260622_214643,0,True,True,True,True,500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.MjCambrianAgentPoint,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-21.58759055,11,6,-491.6961975097656,-3.460822105407715,-19.75752830505371,175000,275000,evaluations/vis_6.mp4,0.2946614661111111
logs/2026-06-22/fixed-2eye-rppo_seed0_nenv8_20260622_214643,0,True,True,True,True,500000,cambrian.ml.model.MjCambrianRecurrentModel,cambrian.agents.MjCambrianAgentPoint,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,68.5373436,20,6,0.0,18.240964889526367,11.422890663146973,450000,500000,evaluations/vis_17.mp4,0.8902128247222222
logs/2026-06-22/original-3eye-mlp_seed0_nenv8_20260622_214643,0,True,True,True,True,500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.MjCambrianAgentPoint,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,246.3678905,19,6,-491.6961975097656,50.11391830444336,34.25483322143555,375000,475000,evaluations/vis_14.mp4,0.5744398391666666
logs/2026-06-22/tracking_2eye_actuated_progress025_seed0_203445,0,False,True,True,True,500000,cambrian.ml.model.MjCambrianRecurrentModel,cambrian.agents.MjCambrianAgentPointEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,8.36193,6,6,-2.4825780391693115,1.5070384740829468,-18.14655113220215,200000,300000,evaluations/vis_3.mp4,0.5789935430555555
logs/2026-06-22/tracking_2eye_recurrent_actuated_seed0_baseline_195514,0,False,True,True,False,500000,cambrian.ml.model.MjCambrianRecurrentModel,cambrian.agents.MjCambrianAgentPointEye,reward_if_done;penalize_if_has_contacts,,10,6,-2.4825780391693115,1.4546083211898804,-1.4129854440689087,150000,250000,evaluations/vis_5.mp4,0.6331176836111111
logs/2026-06-23/actuated-2eye-mlp_hunger_relative_heading0.25_seed0_nenv8_20260623_122616,0,True,True,True,True,500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.MjCambrianAgentPointRelativeEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal;living_cost,0.0,12,6,-495.6666564941406,3.468785047531128,-4.160109996795654,200000,300000,evaluations/vis_7.mp4,0.3944935125
logs/2026-06-23/actuated-2eye-mlp_hunger_relative_heading0.25_seed100_nenv8_20260623_122616,100,True,True,True,True,500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.MjCambrianAgentPointRelativeEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal;living_cost,1.9263793,19,6,-496.3333435058594,1.0875319242477417,0.0,375000,475000,evaluations/vis_14.mp4,0.5975233069444444
logs/2026-06-23/actuated-2eye-mlp_r2plus1d_yawrate_seed0_nenv8_20260623_220639,0,True,True,True,True,1000000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,51.15657965,40,6,-491.6995544433594,19.89820671081543,-6.536743640899658,950000,1000000,evaluations/vis_37.mp4,1.9343065633333334
logs/2026-06-23/actuated-2eye-mlp_r2plus1d_yawrate_seed100_nenv8_20260623_220639,100,True,True,True,True,1000000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,25.94990855,40,6,-497.0,9.253365516662598,8.48715877532959,875000,1000000,evaluations/vis_34.mp4,1.978717902222222
logs/2026-06-23/actuated-2eye-mlp_relative_heading0.25_seed0_nenv8_20260623_104255,0,True,True,True,True,500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.MjCambrianAgentPointRelativeEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,16.39999735,11,6,-495.6666564941406,3.6508140563964844,1.8158515691757202,175000,275000,evaluations/vis_6.mp4,0.3721376294444444
logs/2026-06-23/actuated-2eye-mlp_relative_heading0.25_seed100_nenv8_20260623_104255,100,True,True,True,True,500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.MjCambrianAgentPointRelativeEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-11.2226742,20,6,-496.6666564941406,0.6421264410018921,-1.870445728302002,400000,500000,evaluations/vis_15.mp4,0.5902872811111112
logs/2026-06-23/actuated-2eye-mlp_seed0_nenv8_20260623_094616,0,True,True,True,True,500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.MjCambrianAgentPointEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-39.8337352,18,6,-492.0328674316406,-0.27513599395751953,-14.080780982971191,350000,450000,evaluations/vis_13.mp4,0.5033031525
logs/2026-06-23/actuated-2eye-mlp_seed100_nenv8_20260623_094616,100,True,True,True,True,500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.MjCambrianAgentPointEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-2722.37619,8,6,-496.6666564941406,-448.3595886230469,-466.6797180175781,100000,200000,evaluations/vis_3.mp4,0.24498013361111112
logs/2026-06-23/actuated-2eye-mlp_seed200_nenv8_20260623_094616,200,True,True,True,True,500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.MjCambrianAgentPointEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-2378.266,9,6,-491.3268127441406,-386.6315002441406,-419.0397033691406,125000,225000,evaluations/vis_4.mp4,0.24247765666666668
logs/2026-06-23/actuated-2eye-mlp_seed300_nenv8_20260623_094616,300,True,True,True,True,500000,cambrian.ml.model.MjCambrianModel,cambrian.agents.MjCambrianAgentPointEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,-2542.9051950000003,9,6,-499.8684997558594,-398.6351013183594,-449.0,125000,225000,evaluations/vis_4.mp4,0.26500685583333333
logs/2026-06-23/actuated-2eye-mlp_yawrate_seed0_nenv8_20260623_150830,0,True,True,True,True,250000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,8.8566937,10,6,-495.6666564941406,1.5469461679458618,-7.828649044036865,175000,250000,evaluations/vis_6.mp4,0.3782305177777778
logs/2026-06-23/actuated-2eye-mlp_yawrate_seed0_nenv8_20260623_160043,0,True,True,True,True,750000,cambrian.ml.model.MjCambrianModel,cambrian.agents.point.MjCambrianAgentPointYawRateEye,reward_if_done;penalize_if_has_contacts;euclidean_delta_to_goal,0.0,30,6,-495.6666564941406,1.5469461679458618,-22.2972354888916,175000,750000,evaluations/vis_6.mp4,1.0699469708333333
