#{"t_start": 1781067216.554743, "env_id": "None"}
r,l,t
0.99608606,3,1.428972
-237.0,256,2.873255
-227.0,256,2.873364
-231.0,256,2.873381
-234.0,256,2.896122
-225.0,256,4.370815
-238.0,256,4.370867
-239.0,256,4.370878
-236.0,256,4.396506
-236.0,256,5.845898
-248.0,256,5.845944
-235.0,256,5.845957
-213.0,256,5.867254
-0.013766635,8,5.898415
-224.0,256,7.164752
-247.0,256,7.164819
-237.0,256,7.192455
-240.0,256,7.225722
-246.0,256,8.544074
-227.0,256,8.544133
-227.0,256,8.56799
-247.0,256,8.600651
-99.70711,129,9.259018
0.98623335,8,9.310501
-238.0,256,9.846347
-249.0,256,9.846397
-248.0,256,9.867973
-248.0,256,10.51439
-232.0,256,11.021852
-233.0,256,11.021905
-235.0,256,11.044417
-232.0,256,11.703312
0.9901862,6,11.736989
-228.0,256,12.218246
-231.0,256,12.218301
-238.0,256,19.222058
0.9802742,11,19.261659
-240.0,256,19.867417
-241.0,256,20.354855
-235.0,256,20.376092
-247.0,256,20.417698
-241.0,256,21.068326
-234.0,256,21.577949
-242.0,256,21.598514
-246.0,256,21.64454
0.9822646,10,21.695513
-224.0,256,22.284056
-201.64096,224,22.741611
-228.0,256,22.794925
-235.0,256,22.818301
0.9901862,6,22.855246
-239.0,256,23.496864
-242.0,256,23.906427
-239.0,256,23.962512
-232.0,256,24.008551
0.98425096,9,24.053584
-228.0,256,24.663328
-233.0,256,25.237025
-235.0,256,25.305719
-232.0,256,25.427047
-238.0,256,26.081611
-241.0,256,26.55023
-227.0,256,26.611896
-237.0,256,26.69522
-235.0,256,27.333082
-247.0,256,27.736303
-213.0,256,27.791247
-224.0,256,27.874547
0.98623335,8,27.914991
-237.0,256,28.488998
-243.0,256,28.904906
-225.0,256,28.961835
-238.0,256,35.686998
-244.0,256,36.337464
-240.0,256,36.79308
-242.0,256,36.851247
-239.0,256,36.974843
-233.0,256,37.597308
-243.0,256,38.041304
-243.0,256,38.101387
-230.0,256,38.22498
-221.0,256,38.799952
-239.0,256,39.251403
-216.0,256,39.309258
-247.0,256,39.440723
-233.0,256,39.972954
-237.0,256,40.426343
-226.0,256,40.478574
-237.0,256,40.604232
-98.72349,123,41.046323
-0.99804497,2,41.063683
0.9762812,13,41.130195
-240.0,256,41.207184
-234.0,256,41.667969
-239.0,256,41.834582
0.9822646,10,41.882709
-224.0,256,42.546791
-238.0,256,42.630621
-229.0,256,43.088447
-239.0,256,43.319675
-225.0,256,43.807879
0.98425096,9,43.859182
-236.0,256,43.883953
0.99608606,3,43.904864
-226.0,256,44.314678
-244.0,256,44.538115
-226.0,256,45.088743
-223.0,256,45.130037
-173.534,184,45.45107
-221.0,256,45.581095
-218.0,256,53.318021
-218.0,256,53.355566
-0.9822646,10,53.37663
-226.0,256,53.692445
-232.0,256,53.843968
-245.0,256,54.590224
-239.0,256,54.610621
0.9901862,6,54.631756
-240.0,256,54.891152
-232.0,256,55.015029
-144.38445,160,55.355293
-225.0,256,55.840559
-233.0,256,56.16251
-233.0,256,56.286049
-245.0,256,56.654337
-240.0,256,57.130557
-244.0,256,57.504196
-246.0,256,57.649131
-234.0,256,57.998138
-226.0,256,58.41018
-97.2474,112,58.499458
-243.0,256,58.693474
-207.0,256,58.805934
-127.30123,132,59.390086
-243.0,256,59.550315
-209.0,256,59.640009
-234.0,256,59.838068
-0.9762812,13,59.900503
0.98623335,8,59.941965
-231.0,256,60.5318
-242.0,256,60.724042
-236.0,256,60.839934
-0.96824586,17,60.93574
-242.0,256,61.342639
-222.0,256,62.048612
-239.0,256,62.232813
-236.0,256,62.401186
-241.0,256,62.626516
-217.0,256,70.343283
-236.0,256,70.519464
-224.0,256,70.710451
-227.0,256,70.950649
-237.0,256,71.593621
-220.0,256,71.750384
-209.0,256,71.911831
-215.0,256,72.134423
-213.0,256,72.734863
-219.0,256,72.920859
-243.0,256,73.09918
-238.0,256,73.339928
-229.0,256,74.057268
-246.0,256,74.231028
-206.0,256,74.39833
-236.0,256,74.613809
-229.0,256,75.224081
-234.0,256,75.383129
-226.0,256,75.543629
-245.0,256,75.751361
-236.0,256,76.344905
-244.0,256,76.514348
-214.0,256,76.675732
-0.99608606,3,76.69675
-222.0,256,76.907751
-94.71807,125,77.298227
-241.0,256,77.572509
-240.0,256,77.743547
-240.0,256,78.132699
-130.625,157,109.120471
-241.0,256,109.225945
-218.0,256,109.589908
-0.9901862,6,109.645112
-232.0,256,110.324037
-238.0,256,117.833881
-236.0,256,117.881127
-220.0,256,118.324502
0.9802742,11,118.416667
-242.0,256,119.249513
-226.0,256,119.761755
-197.0,256,119.807516
